"","V1"
"inaug_JamesBuchanan_1_84",9
"inaug_JamesBuchanan_1_85",9
"inaug_JamesBuchanan_1_86",9
"inaug_JamesBuchanan_1_87",2
"inaug_JamesBuchanan_1_88",4
"inaug_JamesBuchanan_1_89",4
"inaug_GroverCleveland-I_1_2",10
"inaug_GroverCleveland-I_1_3",10
"inaug_GroverCleveland-I_1_4",8
"inaug_GroverCleveland-I_1_5",1
"inaug_GroverCleveland-I_1_6",1
"inaug_GroverCleveland-I_1_7",1
"inaug_GroverCleveland-I_1_8",1
"inaug_GroverCleveland-I_1_9",1
"inaug_GroverCleveland-I_1_10",1
"inaug_GroverCleveland-I_1_11",14
"inaug_GroverCleveland-I_1_12",10
"inaug_GroverCleveland-I_1_13",5
"inaug_GroverCleveland-I_1_14",12
"inaug_GroverCleveland-I_1_15",12
"inaug_GroverCleveland-I_1_16",1
"inaug_GroverCleveland-I_1_17",14
"inaug_GroverCleveland-I_1_18",14
"inaug_GroverCleveland-I_1_19",14
"inaug_GroverCleveland-I_1_20",10
"inaug_GroverCleveland-I_1_21",1
"inaug_GroverCleveland-I_1_22",9
"inaug_GroverCleveland-I_1_23",1
"inaug_GroverCleveland-I_1_24",15
"inaug_GroverCleveland-I_1_25",1
"inaug_GroverCleveland-I_1_26",1
"inaug_GroverCleveland-I_1_27",1
"inaug_GroverCleveland-I_1_28",1
"inaug_GroverCleveland-I_1_29",1
"inaug_GroverCleveland-I_1_30",1
"inaug_GroverCleveland-I_1_31",1
"inaug_GroverCleveland-I_1_32",1
"inaug_GroverCleveland-I_1_33",1
"inaug_GroverCleveland-I_1_34",1
"inaug_GroverCleveland-I_1_35",1
"inaug_GroverCleveland-I_1_36",1
"inaug_GroverCleveland-I_1_37",1
"inaug_GroverCleveland-I_1_38",1
"inaug_GroverCleveland-I_1_39",1
"inaug_GroverCleveland-I_1_40",1
"inaug_GroverCleveland-I_1_41",1
"inaug_GroverCleveland-I_1_42",1
"inaug_GroverCleveland-I_1_43",1
"inaug_GroverCleveland-I_1_44",1
"inaug_GroverCleveland-I_1_45",1
"inaug_GroverCleveland-I_1_46",1
"inaug_GroverCleveland-I_1_47",10
"inaug_GroverCleveland-I_1_48",10
"inaug_GroverCleveland-I_1_49",10
"inaug_WoodrowWilson_1_2",3
"inaug_WoodrowWilson_1_3",3
"inaug_WoodrowWilson_1_4",12
"inaug_WoodrowWilson_1_5",12
"inaug_WoodrowWilson_1_6",11
"inaug_WoodrowWilson_1_7",7
"inaug_WoodrowWilson_1_8",7
"inaug_WoodrowWilson_1_9",7
"inaug_WoodrowWilson_1_10",7
"inaug_WoodrowWilson_1_11",7
"inaug_WoodrowWilson_1_12",6
"inaug_WoodrowWilson_1_13",6
"inaug_WoodrowWilson_1_14",6
"inaug_WoodrowWilson_1_15",6
"inaug_WoodrowWilson_1_16",6
"inaug_WoodrowWilson_1_17",6
"inaug_WoodrowWilson_1_18",6
"inaug_WoodrowWilson_1_19",6
"inaug_WoodrowWilson_1_20",6
"inaug_WoodrowWilson_1_21",6
"inaug_WoodrowWilson_1_22",6
"inaug_WoodrowWilson_1_23",6
"inaug_WoodrowWilson_1_24",6
"inaug_WoodrowWilson_1_25",6
"inaug_WoodrowWilson_1_26",6
"inaug_WoodrowWilson_1_27",6
"inaug_WoodrowWilson_1_28",6
"inaug_WoodrowWilson_1_29",6
"inaug_WoodrowWilson_1_30",1
"inaug_WoodrowWilson_1_31",11
"inaug_WoodrowWilson_1_32",2
"inaug_WoodrowWilson_1_33",4
"inaug_WoodrowWilson_1_34",6
"inaug_WoodrowWilson_1_35",6
"inaug_WoodrowWilson_1_36",6
"inaug_WoodrowWilson_1_37",6
"inaug_WoodrowWilson_1_38",6
"inaug_WoodrowWilson_1_39",6
"inaug_WoodrowWilson_1_40",6
"inaug_WoodrowWilson_1_41",6
"inaug_WoodrowWilson_1_42",2
"inaug_WoodrowWilson_1_43",2
"inaug_WoodrowWilson_1_44",2
"inaug_WoodrowWilson_1_45",6
"inaug_WoodrowWilson_1_46",6
"inaug_WoodrowWilson_1_47",6
"inaug_WoodrowWilson_1_48",6
"inaug_WoodrowWilson_1_49",6
"inaug_WoodrowWilson_1_50",6
"inaug_WoodrowWilson_1_51",6
"inaug_WoodrowWilson_1_52",6
"inaug_WoodrowWilson_1_53",6
"inaug_WoodrowWilson_1_54",6
"inaug_WoodrowWilson_1_55",2
"inaug_WoodrowWilson_1_56",2
"inaug_WoodrowWilson_1_57",1
"inaug_WoodrowWilson_1_58",15
"inaug_WoodrowWilson_1_59",7
"inaug_WoodrowWilson_1_60",10
"inaug_WoodrowWilson_1_61",2
"inaug_WoodrowWilson_1_62",7
"inaug_WoodrowWilson_1_63",5
"inaug_WoodrowWilson_1_64",7
"inaug_WoodrowWilson_1_65",7
"inaug_WoodrowWilson_1_66",7
"inaug_WoodrowWilson_1_67",7
"inaug_WoodrowWilson_1_68",7
"inaug_WoodrowWilson_1_69",7
"inaug_WoodrowWilson_1_70",3
"inaug_WoodrowWilson_1_71",6
"inaug_WoodrowWilson_1_72",6
"inaug_WoodrowWilson_1_73",6
"inaug_WoodrowWilson_1_74",6
"inaug_WoodrowWilson_1_75",6
"inaug_WoodrowWilson_1_76",6
"inaug_WoodrowWilson_1_77",10
"inaug_FranklinDRoosevelt_1_2",11
"inaug_FranklinDRoosevelt_1_3",11
"inaug_FranklinDRoosevelt_1_4",11
"inaug_FranklinDRoosevelt_1_5",13
"inaug_FranklinDRoosevelt_1_6",13
"inaug_FranklinDRoosevelt_1_7",10
"inaug_FranklinDRoosevelt_1_8",3
"inaug_FranklinDRoosevelt_1_9",7
"inaug_FranklinDRoosevelt_1_10",3
"inaug_FranklinDRoosevelt_1_11",6
"inaug_FranklinDRoosevelt_1_12",10
"inaug_FranklinDRoosevelt_1_13",2
"inaug_FranklinDRoosevelt_1_14",2
"inaug_FranklinDRoosevelt_1_15",7
"inaug_FranklinDRoosevelt_1_16",8
"inaug_FranklinDRoosevelt_1_17",9
"inaug_FranklinDRoosevelt_1_18",1
"inaug_FranklinDRoosevelt_1_19",9
"inaug_FranklinDRoosevelt_1_20",7
"inaug_FranklinDRoosevelt_1_21",3
"inaug_FranklinDRoosevelt_1_22",3
"inaug_FranklinDRoosevelt_1_23",3
"inaug_FranklinDRoosevelt_1_24",7
"inaug_FranklinDRoosevelt_1_25",7
"inaug_FranklinDRoosevelt_1_26",7
"inaug_FranklinDRoosevelt_1_27",7
"inaug_FranklinDRoosevelt_1_28",7
"inaug_FranklinDRoosevelt_1_29",7
"inaug_FranklinDRoosevelt_1_30",7
"inaug_FranklinDRoosevelt_1_31",1
"inaug_FranklinDRoosevelt_1_32",1
"inaug_FranklinDRoosevelt_1_33",7
"inaug_FranklinDRoosevelt_1_34",7
"inaug_FranklinDRoosevelt_1_35",7
"inaug_FranklinDRoosevelt_1_36",7
"inaug_FranklinDRoosevelt_1_37",7
"inaug_FranklinDRoosevelt_1_38",7
"inaug_FranklinDRoosevelt_1_39",7
"inaug_FranklinDRoosevelt_1_40",7
"inaug_FranklinDRoosevelt_1_41",7
"inaug_FranklinDRoosevelt_1_42",10
"inaug_FranklinDRoosevelt_1_43",7
"inaug_FranklinDRoosevelt_1_44",12
"inaug_FranklinDRoosevelt_1_45",12
"inaug_FranklinDRoosevelt_1_46",8
